side,raw_id,norm_id,ra_deg,dec_deg,source_tag,row_idx
lensing,SPT-CL J0000-5748,SPTCLJ00005748,0.2499000000,-57.8064000000,spt_sz_table4_catalog.csv,1
lensing,SPT-CL J0003-5253,SPTCLJ00035253,0.8237000000,-52.8970000000,spt_sz_table4_catalog.csv,2
lensing,SPT-CL J0013-4906,SPTCLJ00134906,3.3290000000,-49.1151000000,spt_sz_table4_catalog.csv,3
lensing,SPT-CL J0014-4952,SPTCLJ00144952,3.6969000000,-49.8772000000,spt_sz_table4_catalog.csv,4
lensing,SPT-CL J0033-6326,SPTCLJ00336326,8.4767000000,-63.4463000000,spt_sz_table4_catalog.csv,5
lensing,SPT-CL J0037-5047,SPTCLJ00375047,9.4441000000,-50.7971000000,spt_sz_table4_catalog.csv,6
lensing,SPT-CL J0040-4407,SPTCLJ00404407,10.2048000000,-44.1329000000,spt_sz_table4_catalog.csv,7
lensing,SPT-CL J0058-6145,SPTCLJ00586145,14.5799000000,-61.7635000000,spt_sz_table4_catalog.csv,8
lensing,SPT-CL J0102-4603,SPTCLJ01024603,15.6690000000,-46.0647000000,spt_sz_table4_catalog.csv,9
lensing,SPT-CL J0102-4915,SPTCLJ01024915,15.7294000000,-49.2611000000,spt_sz_table4_catalog.csv,10
lensing,SPT-CL J0106-5943,SPTCLJ01065943,16.6152000000,-59.7214000000,spt_sz_table4_catalog.csv,11
lensing,SPT-CL J0115-5959,SPTCLJ01155959,18.8096000000,-59.9887000000,spt_sz_table4_catalog.csv,12
lensing,SPT-CL J0123-4821,SPTCLJ01234821,20.7923000000,-48.3588000000,spt_sz_table4_catalog.csv,13
lensing,SPT-CL J0142-5032,SPTCLJ01425032,25.5452000000,-50.5438000000,spt_sz_table4_catalog.csv,14
lensing,SPT-CL J0151-5954,SPTCLJ01515954,27.8597000000,-59.9059000000,spt_sz_table4_catalog.csv,15
lensing,SPT-CL J0156-5541,SPTCLJ01565541,29.0449000000,-55.6980000000,spt_sz_table4_catalog.csv,16
lensing,SPT-CL J0200-4852,SPTCLJ02004852,30.1436000000,-48.8757000000,spt_sz_table4_catalog.csv,17
lensing,SPT-CL J0205-4125,SPTCLJ02054125,31.3274000000,-41.4224000000,spt_sz_table4_catalog.csv,18
lensing,SPT-CL J0212-4657,SPTCLJ02124657,33.1061000000,-46.9502000000,spt_sz_table4_catalog.csv,19
lensing,SPT-CL J0222-5335,SPTCLJ02225335,35.6926000000,-53.5970000000,spt_sz_table4_catalog.csv,21
lensing,SPT-CL J0232-5257,SPTCLJ02325257,38.1876000000,-52.9578000000,spt_sz_table4_catalog.csv,23
lensing,SPT-CL J0234-5831,SPTCLJ02345831,38.6786000000,-58.5214000000,spt_sz_table4_catalog.csv,24
lensing,SPT-CL J0235-5121,SPTCLJ02355121,38.9468000000,-51.3516000000,spt_sz_table4_catalog.csv,25
lensing,SPT-CL J0243-5930,SPTCLJ02435930,40.8615000000,-59.5124000000,spt_sz_table4_catalog.csv,26
lensing,SPT-CL J0245-5302,SPTCLJ02455302,41.3805000000,-53.0359000000,spt_sz_table4_catalog.csv,27
lensing,SPT-CL J0252-4824,SPTCLJ02524824,43.1881000000,-48.4124000000,spt_sz_table4_catalog.csv,28
lensing,SPT-CL J0256-5617,SPTCLJ02565617,44.0997000000,-56.2980000000,spt_sz_table4_catalog.csv,29
lensing,SPT-CL J0304-4401,SPTCLJ03044401,46.0702000000,-44.0314000000,spt_sz_table4_catalog.csv,30
lensing,SPT-CL J0304-4921,SPTCLJ03044921,46.0619000000,-49.3612000000,spt_sz_table4_catalog.csv,31
lensing,SPT-CL J0307-5042,SPTCLJ03075042,46.9516000000,-50.7071000000,spt_sz_table4_catalog.csv,32
lensing,SPT-CL J0307-6225,SPTCLJ03076225,46.8336000000,-62.4327000000,spt_sz_table4_catalog.csv,33
lensing,SPT-CL J0321-4515,SPTCLJ03214515,50.3200000000,-45.2556000000,spt_sz_table4_catalog.csv,34
lensing,SPT-CL J0324-6236,SPTCLJ03246236,51.0530000000,-62.6021000000,spt_sz_table4_catalog.csv,35
lensing,SPT-CL J0334-4659,SPTCLJ03344659,53.5464000000,-46.9932000000,spt_sz_table4_catalog.csv,36
lensing,SPT-CL J0334-6008,SPTCLJ03346008,53.6899000000,-60.1497000000,spt_sz_table4_catalog.csv,37
lensing,SPT-CL J0346-5439,SPTCLJ03465439,56.7247000000,-54.6505000000,spt_sz_table4_catalog.csv,39
lensing,SPT-CL J0348-4515,SPTCLJ03484515,57.0737000000,-45.2510000000,spt_sz_table4_catalog.csv,40
lensing,SPT-CL J0352-5647,SPTCLJ03525647,58.2367000000,-56.7996000000,spt_sz_table4_catalog.csv,41
lensing,SPT-CL J0406-4805,SPTCLJ04064805,61.7275000000,-48.0866000000,spt_sz_table4_catalog.csv,42
lensing,SPT-CL J0411-4819,SPTCLJ04114819,62.8154000000,-48.3218000000,spt_sz_table4_catalog.csv,43
lensing,SPT-CL J0417-4748,SPTCLJ04174748,64.3451000000,-47.8139000000,spt_sz_table4_catalog.csv,44
lensing,SPT-CL J0426-5455,SPTCLJ04265455,66.5199000000,-54.9197000000,spt_sz_table4_catalog.csv,45
lensing,SPT-CL J0434-5727,SPTCLJ04345727,68.6315000000,-57.4523000000,spt_sz_table4_catalog.csv,46
lensing,SPT-CL J0438-5419,SPTCLJ04385419,69.5749000000,-54.3212000000,spt_sz_table4_catalog.csv,47
lensing,SPT-CL J0440-4744,SPTCLJ04404744,70.2431000000,-47.7370000000,spt_sz_table4_catalog.csv,48
lensing,SPT-CL J0441-4855,SPTCLJ04414855,70.4511000000,-48.9190000000,spt_sz_table4_catalog.csv,49
lensing,SPT-CL J0442-5905,SPTCLJ04425905,70.6496000000,-59.0929000000,spt_sz_table4_catalog.csv,50
lensing,SPT-CL J0449-4901,SPTCLJ04494901,72.2742000000,-49.0246000000,spt_sz_table4_catalog.csv,51
lensing,SPT-CL J0456-5116,SPTCLJ04565116,74.1163000000,-51.2768000000,spt_sz_table4_catalog.csv,52
lensing,SPT-CL J0509-5342,SPTCLJ05095342,77.3374000000,-53.7053000000,spt_sz_table4_catalog.csv,53
lensing,SPT-CL J0528-5300,SPTCLJ05285300,82.0196000000,-53.0024000000,spt_sz_table4_catalog.csv,55
lensing,SPT-CL J0533-5005,SPTCLJ05335005,83.4009000000,-50.0901000000,spt_sz_table4_catalog.csv,56
lensing,SPT-CL J0546-5345,SPTCLJ05465345,86.6525000000,-53.7625000000,spt_sz_table4_catalog.csv,58
lensing,SPT-CL J0555-6406,SPTCLJ05556406,88.8662000000,-64.1032000000,spt_sz_table4_catalog.csv,59
lensing,SPT-CL J0559-5249,SPTCLJ05595249,89.9251000000,-52.8260000000,spt_sz_table4_catalog.csv,60
lensing,SPT-CL J0616-5227,SPTCLJ06165227,94.1430000000,-52.4546000000,spt_sz_table4_catalog.csv,61
lensing,SPT-CL J0655-5234,SPTCLJ06555234,103.9626000000,-52.5677000000,spt_sz_table4_catalog.csv,62
lensing,SPT-CL J2034-5936,SPTCLJ20345936,308.5401000000,-59.6017000000,spt_sz_table4_catalog.csv,65
lensing,SPT-CL J2035-5251,SPTCLJ20355251,308.8012000000,-52.8519000000,spt_sz_table4_catalog.csv,66
lensing,SPT-CL J2043-5035,SPTCLJ20435035,310.8284000000,-50.5938000000,spt_sz_table4_catalog.csv,67
lensing,SPT-CL J2106-5844,SPTCLJ21065844,316.5206000000,-58.7451000000,spt_sz_table4_catalog.csv,69
lensing,SPT-CL J2135-5726,SPTCLJ21355726,323.9164000000,-57.4409000000,spt_sz_table4_catalog.csv,70
lensing,SPT-CL J2142-6419,SPTCLJ21426419,325.7063000000,-64.3224000000,spt_sz_table4_catalog.csv,71
lensing,SPT-CL J2145-5644,SPTCLJ21455644,326.4682000000,-56.7476000000,spt_sz_table4_catalog.csv,72
lensing,SPT-CL J2146-4633,SPTCLJ21464633,326.6462000000,-46.5500000000,spt_sz_table4_catalog.csv,73
lensing,SPT-CL J2148-6116,SPTCLJ21486116,327.1812000000,-61.2780000000,spt_sz_table4_catalog.csv,74
lensing,SPT-CL J2154-5936,SPTCLJ21545936,328.7003000000,-59.6068000000,spt_sz_table4_catalog.csv,75
lensing,SPT-CL J2154-5952,SPTCLJ21545952,328.6973000000,-59.8821000000,spt_sz_table4_catalog.csv,76
lensing,SPT-CL J2218-4519,SPTCLJ22184519,334.7486000000,-45.3205000000,spt_sz_table4_catalog.csv,77
lensing,SPT-CL J2222-4834,SPTCLJ22224834,335.7122000000,-48.5735000000,spt_sz_table4_catalog.csv,78
lensing,SPT-CL J2232-5959,SPTCLJ22325959,338.1487000000,-59.9903000000,spt_sz_table4_catalog.csv,79
lensing,SPT-CL J2233-5339,SPTCLJ22335339,338.3295000000,-53.6502000000,spt_sz_table4_catalog.csv,80
lensing,SPT-CL J2236-4555,SPTCLJ22364555,339.2186000000,-45.9279000000,spt_sz_table4_catalog.csv,81
lensing,SPT-CL J2245-6206,SPTCLJ22456206,341.2604000000,-62.1136000000,spt_sz_table4_catalog.csv,82
lensing,SPT-CL J2258-4044,SPTCLJ22584044,344.7051000000,-40.7386000000,spt_sz_table4_catalog.csv,85
lensing,SPT-CL J2259-6057,SPTCLJ22596057,344.7528000000,-60.9546000000,spt_sz_table4_catalog.csv,86
lensing,SPT-CL J2300-5100,SPTCLJ23005100,345.1034000000,-51.0126000000,spt_sz_table4_catalog.csv,87
lensing,SPT-CL J2301-4023,SPTCLJ23014023,345.4687000000,-40.3912000000,spt_sz_table4_catalog.csv,88
lensing,SPT-CL J2306-6505,SPTCLJ23066505,346.7298000000,-65.0910000000,spt_sz_table4_catalog.csv,89
lensing,SPT-CL J2325-4111,SPTCLJ23254111,351.3043000000,-41.1959000000,spt_sz_table4_catalog.csv,90
lensing,SPT-CL J2331-5051,SPTCLJ23315051,352.9608000000,-50.8639000000,spt_sz_table4_catalog.csv,91
lensing,SPT-CL J2335-4544,SPTCLJ23354544,353.7861000000,-45.7389000000,spt_sz_table4_catalog.csv,92
lensing,SPT-CL J2337-5942,SPTCLJ23375942,354.3523000000,-59.7049000000,spt_sz_table4_catalog.csv,93
lensing,SPT-CL J2341-5119,SPTCLJ23415119,355.2991000000,-51.3281000000,spt_sz_table4_catalog.csv,94
lensing,SPT-CL J2342-5411,SPTCLJ23425411,355.6892000000,-54.1856000000,spt_sz_table4_catalog.csv,95
lensing,SPT-CL J2344-4243,SPTCLJ23444243,356.1847000000,-42.7209000000,spt_sz_table4_catalog.csv,96
lensing,SPT-CL J2345-6405,SPTCLJ23456405,356.2555000000,-64.0959000000,spt_sz_table4_catalog.csv,97
lensing,SPT-CL J2347-6246,SPTCLJ23476246,356.8065000000,-62.7693000000,spt_sz_table4_catalog.csv,98
lensing,SPT-CL J2352-4657,SPTCLJ23524657,358.0631000000,-46.9569000000,spt_sz_table4_catalog.csv,99
lensing,SPT-CL J2355-5055,SPTCLJ23555055,358.9498000000,-50.9320000000,spt_sz_table4_catalog.csv,100
lensing,SPT-CL J2359-5009,SPTCLJ23595009,359.9230000000,-50.1649000000,spt_sz_table4_catalog.csv,101
