system_id,ell,obs_dx,obs_dy,sigma_grad_x,sigma_grad_y,sigma,mv_nlkk,pp_nlkk
L00127,1010,-0.061018248,0.120236705,-0.061018248,0.120236705,0.205437649,1.349078937282e-06,4.346330722735e-05
L00128,1018,-0.049270057,0.129760171,-0.049270057,0.129760171,0.205370907,1.360356640186e-06,4.406369143443e-05
L00129,1026,-0.040824084,0.140805665,-0.040824084,0.140805665,0.205448892,1.368522577145e-06,4.477042348041e-05
L00130,1034,-0.031215448,0.150898919,-0.031215448,0.150898919,0.205463431,1.377872249374e-06,4.542613450787e-05
L00131,1042,-0.023513051,0.159856465,-0.023513051,0.159856465,0.205501085,1.385413162121e-06,4.601610309253e-05
L00132,1050,-0.013306732,0.169093766,-0.013306732,0.169093766,0.205472015,1.395469113596e-06,4.663252301140e-05
L00133,1058,-0.004497721,0.178445683,-0.004497721,0.178445683,0.205488302,1.404207009685e-06,4.726500363918e-05
L00134,1066,0.007585229,0.187371447,0.007585229,0.187371447,0.205393587,1.416281476685e-06,4.787666236705e-05
L00135,1074,0.020007988,0.196948416,0.020007988,0.196948416,0.205308213,1.428803770421e-06,4.854175201486e-05
L00136,1082,0.031442903,0.205420005,0.031442903,0.205420005,0.205219313,1.440428143659e-06,4.913777369717e-05
L00137,1090,0.042431404,0.213496908,0.042431404,0.213496908,0.205131965,1.451687804361e-06,4.971284053522e-05
L00138,1098,0.053475372,0.222659699,0.053475372,0.222659699,0.205075530,1.463092985037e-06,5.037337386879e-05
L00139,1106,0.067326589,0.231881996,0.067326589,0.231881996,0.204936662,1.477523978851e-06,5.104705939169e-05
L00140,1114,0.081534105,0.240184211,0.081534105,0.240184211,0.204759503,1.492474074675e-06,5.166123604604e-05
L00141,1122,0.095971579,0.249114844,0.095971579,0.249114844,0.204594298,1.507821119105e-06,5.233015367259e-05
L00142,1130,0.111769134,0.259008914,0.111769134,0.259008914,0.204417193,1.524794801990e-06,5.308135207289e-05
L00143,1138,0.125251244,0.267237761,0.125251244,0.267237761,0.204259595,1.539431690399e-06,5.371432708378e-05
L00144,1146,0.141925384,0.276648040,0.141925384,0.276648040,0.204041680,1.557728501685e-06,5.444743623751e-05
L00145,1154,0.159320640,0.285281996,0.159320640,0.285281996,0.203778841,1.577048420718e-06,5.512886404359e-05
L00146,1162,0.177474587,0.295396421,0.177474587,0.295396421,0.203537655,1.597466541399e-06,5.593799159438e-05
L00147,1170,0.195336090,0.305760702,0.195336090,0.305760702,0.203312738,1.617813728278e-06,5.677942775558e-05
L00148,1178,0.213181749,0.315763179,0.213181749,0.315763179,0.203077443,1.638401686687e-06,5.760349034648e-05
L00149,1186,0.232252522,0.326461310,0.232252522,0.326461310,0.202826264,1.660692696944e-06,5.849810611977e-05
L00150,1194,0.252128043,0.336724106,0.252128043,0.336724106,0.202537882,1.684247148496e-06,5.936937212728e-05
L00151,1202,0.273807140,0.348104295,0.273807140,0.348104295,0.202228915,1.710320112278e-06,6.035068078761e-05
L00152,1210,0.292929540,0.358449247,0.292929540,0.358449247,0.201965591,1.733653018518e-06,6.125678825152e-05
L00153,1218,0.312879591,0.368811302,0.312879591,0.368811302,0.201677951,1.758335162733e-06,6.217803198968e-05
L00154,1226,0.333591607,0.379341554,0.333591607,0.379341554,0.201372498,1.784331864430e-06,6.312842421871e-05
L00155,1234,0.354724446,0.391754050,0.354724446,0.391754050,0.201110888,1.811252951713e-06,6.426736623873e-05
L00156,1242,0.374467744,0.403914360,0.374467744,0.403914360,0.200883398,1.836770774293e-06,6.540309233239e-05
L00157,1250,0.396968333,0.414551930,0.396968333,0.414551930,0.200527508,1.866290952335e-06,6.641304616048e-05
L00158,1258,0.414695246,0.425896392,0.414695246,0.425896392,0.200336034,1.889881949785e-06,6.750730436397e-05
L00159,1266,0.434977389,0.438064276,0.434977389,0.438064276,0.200092607,1.917239451744e-06,6.870103586961e-05
L00160,1274,0.455363684,0.450056183,0.455363684,0.450056183,0.200159225,1.945136524445e-06,6.989815439242e-05
L00161,1282,0.473955936,0.462061098,0.473955936,0.462061098,0.200356845,1.970932345692e-06,7.111746541248e-05
L00162,1290,0.489487797,0.473233602,0.489487797,0.473233602,0.200487626,1.992744102504e-06,7.227133143379e-05
L00163,1298,0.507175062,0.484587351,0.507175062,0.484587351,0.200677631,2.017876848580e-06,7.346309680614e-05
L00164,1306,0.527388177,0.496490076,0.527388177,0.496490076,0.200926943,2.046987047190e-06,7.473359269002e-05
L00165,1314,0.544306429,0.508866996,0.544306429,0.508866996,0.201063183,2.071674696910e-06,7.607801231599e-05
L00166,1322,0.560770554,0.520331754,0.560770554,0.520331754,0.201213164,2.095985504796e-06,7.734491806448e-05
L00167,1330,0.576938732,0.530988127,0.576938732,0.530988127,0.201378518,2.120136935963e-06,7.854140484121e-05
L00168,1338,0.593284865,0.540926918,0.593284865,0.540926918,0.201570738,2.144837104111e-06,7.967399791142e-05
L00169,1346,0.608733700,0.551699066,0.608733700,0.551699066,0.201711039,2.168445836624e-06,8.092000909846e-05
L00170,1354,0.625080801,0.562236897,0.625080801,0.562236897,0.201885317,2.193710319921e-06,8.215776972878e-05
L00171,1362,0.638248806,0.571694069,0.638248806,0.571694069,0.201996642,2.214275397067e-06,8.328470929491e-05
L00172,1370,0.651973085,0.581468564,0.651973085,0.581468564,0.202115136,2.235914437094e-06,8.446570893829e-05
L00173,1378,0.664812386,0.592202192,0.664812386,0.592202192,0.202178306,2.256349547677e-06,8.578189686268e-05
L00174,1386,0.679363344,0.603409999,0.679363344,0.603409999,0.202278600,2.279734808304e-06,8.717812353574e-05
L00175,1394,0.696038710,0.613321513,0.696038710,0.613321513,0.202481516,2.306832445171e-06,8.843178618002e-05
L00176,1402,0.707965212,0.623348615,0.707965212,0.623348615,0.202538498,2.326410471798e-06,8.971841467532e-05
L00177,1410,0.723152815,0.633604193,0.723152815,0.633604193,0.202686459,2.351582483894e-06,9.105372672582e-05
L00178,1418,0.735414404,0.644715885,0.735414404,0.644715885,0.202720956,2.372103477475e-06,9.252294872633e-05
L00179,1426,0.752635770,0.655051530,0.752635770,0.655051530,0.202927527,2.401227887396e-06,9.391083277107e-05
L00180,1434,0.768237053,0.665257752,0.768237053,0.665257752,0.203089379,2.427921036362e-06,9.530176586865e-05
L00181,1442,0.784901110,0.676041689,0.784901110,0.676041689,0.203265783,2.456760373674e-06,9.679382151589e-05
L00182,1450,0.801931680,0.686196415,0.801931680,0.686196415,0.203472058,2.486587984533e-06,9.822016865110e-05
L00183,1458,0.816803245,0.695818263,0.816803245,0.695818263,0.203629549,2.512930312792e-06,9.959105502997e-05
L00184,1466,0.833883211,0.707204264,0.833883211,0.707204264,0.203800368,2.543528911903e-06,1.012380303801e-04
L00185,1474,0.851196477,0.717118550,0.851196477,0.717118550,0.204022338,2.574925736808e-06,1.026942909967e-04
L00186,1482,0.866485417,0.728066629,0.866485417,0.728066629,0.204152564,2.602973619432e-06,1.043267505742e-04
L00187,1490,0.883845310,0.739541009,0.883845310,0.739541009,0.204329129,2.635191284384e-06,1.060655446628e-04
L00188,1498,0.899653113,0.750664170,0.899653113,0.750664170,0.204469668,2.664875231486e-06,1.077787746125e-04
L00189,1506,0.918643075,0.762280499,0.918643075,0.762280499,0.204690877,2.700977091906e-06,1.095975117922e-04
L00190,1514,0.935108455,0.773147301,0.935108455,0.773147301,0.204858835,2.732675102487e-06,1.113266716611e-04
L00191,1522,0.953184943,0.784664363,0.953184943,0.784664363,0.205055617,2.767903249785e-06,1.131890915146e-04
L00192,1530,0.972557805,0.796783208,0.972557805,0.796783208,0.205273238,2.806162139566e-06,1.151824768264e-04
L00193,1538,0.990721920,0.808648873,0.990721920,0.808648873,0.205462191,2.842514136586e-06,1.171682264640e-04
L00194,1546,1.007010653,0.820553532,1.007010653,0.820553532,0.205593714,2.875513232812e-06,1.191949059161e-04
L00195,1554,1.021372270,0.832210013,1.021372270,0.832210013,0.205674868,2.904925855913e-06,1.212132981056e-04
L00196,1562,1.037699058,0.843480917,1.037699058,0.843480917,0.205826544,2.938728742032e-06,1.231974205436e-04
L00197,1570,1.052599396,0.856277304,1.052599396,0.856277304,0.205889663,2.969921495801e-06,1.254894857386e-04
L00198,1578,1.066487415,0.868525260,1.066487415,0.868525260,0.205938865,2.999293075947e-06,1.277232477138e-04
L00199,1586,1.079835363,0.881249364,1.079835363,0.881249364,0.205957580,3.027796183450e-06,1.300859690753e-04
L00200,1594,1.093682071,0.892727829,1.093682071,0.892727829,0.206028627,3.057650619222e-06,1.322548655997e-04
L00201,1602,1.103906445,0.905278405,1.103906445,0.905278405,0.205958841,3.079883826308e-06,1.346677481578e-04
L00202,1610,1.115296405,0.917784492,1.115296405,0.917784492,0.205925357,3.104842047720e-06,1.371158641507e-04
L00203,1618,1.126501136,0.929604334,1.126501136,0.929604334,0.205906904,3.129591722993e-06,1.394705394025e-04
L00204,1626,1.138701561,0.940838829,1.138701561,0.940838829,0.205935882,3.156765162475e-06,1.417460770668e-04
L00205,1634,1.148457158,0.953006200,1.148457158,0.953006200,0.205863529,3.178663011164e-06,1.442524659797e-04
L00206,1642,1.156673520,0.965163881,1.156673520,0.965163881,0.205745289,3.197223621740e-06,1.468011243213e-04
L00207,1650,1.162547727,0.977100616,1.162547727,0.977100616,0.205563413,3.210559748640e-06,1.493472700073e-04
L00208,1658,1.171219993,0.989387152,1.171219993,0.989387152,0.205454985,3.230350021498e-06,1.520141579975e-04
L00209,1666,1.179545314,1.001823499,1.179545314,1.001823499,0.205331654,3.249463316764e-06,1.547620643863e-04
L00210,1674,1.186767563,1.013117941,1.186767563,1.013117941,0.205209489,3.266135758514e-06,1.573006750004e-04
L00211,1682,1.195095403,1.024536190,1.195095403,1.024536190,0.205116776,3.285466654060e-06,1.599094449086e-04
L00212,1690,1.201013808,1.036582646,1.201013808,1.036582646,0.204932935,3.299274186859e-06,1.627086591948e-04
L00213,1698,1.207431025,1.049457201,1.207431025,1.049457201,0.204739215,3.314311014917e-06,1.657544874410e-04
L00214,1706,1.214930727,1.062140483,1.214930727,1.062140483,0.204583707,3.331971193546e-06,1.688108119645e-04
L00215,1714,1.222046478,1.074413378,1.222046478,1.074413378,0.204428993,3.348814241675e-06,1.718218833209e-04
L00216,1722,1.229147707,1.086231545,1.229147707,1.086231545,0.204287485,3.365707796740e-06,1.747721394284e-04
L00217,1730,1.235143589,1.096904663,1.235143589,1.096904663,0.204147168,3.380038111828e-06,1.774800571467e-04
L00218,1738,1.240931353,1.108578431,1.240931353,1.108578431,0.203970588,3.393928891524e-06,1.804899181470e-04
L00219,1746,1.246084048,1.120539702,1.246084048,1.120539702,0.203766330,3.406343515946e-06,1.836268586638e-04
L00220,1754,1.254148835,1.132931082,1.254148835,1.132931082,0.203636533,3.425865600699e-06,1.869341071641e-04
L00221,1762,1.262322180,1.145181723,1.262322180,1.145181723,0.203514214,3.445764624431e-06,1.902623433889e-04
L00222,1770,1.270452005,1.156020351,1.270452005,1.156020351,0.203432950,3.465672351171e-06,1.932563379264e-04
L00223,1778,1.279477988,1.168555471,1.279477988,1.168555471,0.203327676,3.487909285992e-06,1.967777616711e-04
L00224,1786,1.287554670,1.181613112,1.287554670,1.181613112,0.203178247,3.507928400043e-06,2.005142249348e-04
L00225,1794,1.297676900,1.194222336,1.297676900,1.194222336,0.203103637,3.533179989041e-06,2.041896946884e-04
L00226,1802,1.306166073,1.206125370,1.306166073,1.206125370,0.203001221,3.554497739843e-06,2.077211132205e-04
L00227,1810,1.317831245,1.218813616,1.317831245,1.218813616,0.202970529,3.584000921917e-06,2.115527675063e-04
L00228,1818,1.327816079,1.232419319,1.327816079,1.232419319,0.202861903,3.609448684601e-06,2.157400445159e-04
L00229,1826,1.339256632,1.246108810,1.339256632,1.246108810,0.202794435,3.638828750518e-06,2.200367574036e-04
L00230,1834,1.350831053,1.258437512,1.350831053,1.258437512,0.202771806,3.668795967858e-06,2.239795492652e-04
L00231,1842,1.362914929,1.271316356,1.362914929,1.271316356,0.202747957,3.700345565868e-06,2.281737493168e-04
L00232,1850,1.371446619,1.283364780,1.371446619,1.283364780,0.202642455,3.722784081520e-06,2.321685881295e-04
L00233,1858,1.381437534,1.295615826,1.381437534,1.295615826,0.202574651,3.749233411826e-06,2.363023318274e-04
L00234,1866,1.390980751,1.308859142,1.390980751,1.308859142,0.202463648,3.774672989001e-06,2.408537109724e-04
L00235,1874,1.399996532,1.322010824,1.399996532,1.322010824,0.202339571,3.798865113198e-06,2.454603493227e-04
L00236,1882,1.409077755,1.334913187,1.409077755,1.334913187,0.202224937,3.823389584638e-06,2.500652672491e-04
L00237,1890,1.417260222,1.348031613,1.417260222,1.348031613,0.202076858,3.845622467801e-06,2.548358800203e-04
L00238,1898,1.422693306,1.360862792,1.422693306,1.360862792,0.201854915,3.860456275041e-06,2.595900646622e-04
L00239,1906,1.428403064,1.372519248,1.428403064,1.372519248,0.201676514,3.876107147603e-06,2.639858349516e-04
L00240,1914,1.435682074,1.384871021,1.435682074,1.384871021,0.201524332,3.896151496675e-06,2.687250719977e-04
L00241,1922,1.440501093,1.398482526,1.440501093,1.398482526,0.201260557,3.909478713076e-06,2.740462543070e-04
L00242,1930,1.443825768,1.411674360,1.443825768,1.411674360,0.200964542,3.918699820519e-06,2.793038982020e-04
L00243,1938,1.444077190,1.424646365,1.444077190,1.424646365,0.200582925,3.919398031800e-06,2.845722794754e-04
L00244,1946,1.444897116,1.437122068,1.444897116,1.437122068,0.200233251,3.921675874034e-06,2.897328180496e-04
L00245,1954,1.446860540,1.449595216,1.446860540,1.449595216,0.200082040,3.927135857633e-06,2.949858539023e-04
L00246,1962,1.447188447,1.462956631,1.447188447,1.462956631,0.200473046,3.928048457844e-06,3.007186825783e-04
L00247,1970,1.444682196,1.475624203,1.444682196,1.475624203,0.200928260,3.921078676625e-06,3.062566625823e-04
L00248,1978,1.441528547,1.488677758,1.441528547,1.488677758,0.201414476,3.912326075104e-06,3.120701004015e-04
L00249,1986,1.437728206,1.501796220,1.437728206,1.501796220,0.201922040,3.901804608102e-06,3.180236254812e-04
L00250,1994,1.434164361,1.514824193,1.434164361,1.514824193,0.202419795,3.891963605384e-06,3.240484848076e-04
L00251,2002,1.430108688,1.527817530,1.430108688,1.527817530,0.202931265,3.880794687457e-06,3.301710086257e-04
L00252,2010,1.427899589,1.541920044,1.427899589,1.541920044,0.203420614,3.874724538258e-06,3.369471643585e-04
L00253,2018,1.425449319,1.555386063,1.425449319,1.555386063,0.203898102,3.868002806003e-06,3.435472439069e-04
L00254,2026,1.421717560,1.569225170,1.421717560,1.569225170,0.204425228,3.857788011600e-06,3.504649127206e-04
L00255,2034,1.417655378,1.582191714,1.417655378,1.582191714,0.204936090,3.846699427263e-06,3.570727630274e-04
L00256,2042,1.414187461,1.593945842,1.414187461,1.593945842,0.205392751,3.837258237021e-06,3.631703521626e-04
